locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJMONHIK_00804	gene	558	frr			
KJMONHIK_00804	CDS	558	frr		COG0233	Ribosome-recycling factor
KJMONHIK_00805	gene	783	uppS			
KJMONHIK_00805	CDS	783	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
KJMONHIK_00806	gene	801				
KJMONHIK_00806	CDS	801				hypothetical protein
KJMONHIK_00807	gene	1152	dxr			
KJMONHIK_00807	CDS	1152	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
KJMONHIK_00808	gene	1263	rasP			
KJMONHIK_00808	CDS	1263	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
KJMONHIK_00809	gene	1695	proS			
KJMONHIK_00809	CDS	1695	proS	6.1.1.15		Proline--tRNA ligase
KJMONHIK_00810	gene	4365	polC			
KJMONHIK_00810	CDS	4365	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
KJMONHIK_00811	gene	471	rimP			
KJMONHIK_00811	CDS	471	rimP		COG0779	Ribosome maturation factor RimP
KJMONHIK_00812	gene	1119	nusA			
KJMONHIK_00812	CDS	1119	nusA		COG0195	Transcription termination/antitermination protein NusA
KJMONHIK_00813	gene	276				
KJMONHIK_00813	CDS	276				hypothetical protein
KJMONHIK_00814	gene	303	rplGA			
KJMONHIK_00814	CDS	303	rplGA		COG1358	putative ribosomal protein YlxQ
KJMONHIK_00815	gene	2148	infB			
KJMONHIK_00815	CDS	2148	infB			Translation initiation factor IF-2
KJMONHIK_00816	gene	279				
KJMONHIK_00816	CDS	279				hypothetical protein
KJMONHIK_00817	gene	354	rbfA			
KJMONHIK_00817	CDS	354	rbfA			Ribosome-binding factor A
KJMONHIK_00818	gene	930	truB			
KJMONHIK_00818	CDS	930	truB	5.4.99.25		tRNA pseudouridine synthase B
KJMONHIK_00819	gene	951	ribF			
KJMONHIK_00819	CDS	951	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KJMONHIK_00820	gene	270	rpsO			
KJMONHIK_00820	CDS	270	rpsO		COG0184	30S ribosomal protein S15
KJMONHIK_00821	gene	2118	pnp_1			
KJMONHIK_00821	CDS	2118	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
KJMONHIK_00822	gene	960				
KJMONHIK_00822	CDS	960				hypothetical protein
KJMONHIK_00823	gene	1230				
KJMONHIK_00823	CDS	1230		3.4.24.-	COG0612	putative zinc protease
KJMONHIK_00824	gene	258				
KJMONHIK_00824	CDS	258				hypothetical protein
KJMONHIK_00825	gene	894	dpaA			
KJMONHIK_00825	CDS	894	dpaA	1.3.1.-		Dipicolinate synthase subunit A
KJMONHIK_00826	gene	603	dpaB			
KJMONHIK_00826	CDS	603	dpaB	1.3.1.-	COG0452	Dipicolinate synthase subunit B
KJMONHIK_00827	gene	1041	asd			
KJMONHIK_00827	CDS	1041	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
KJMONHIK_00828	gene	1215	ask			
KJMONHIK_00828	CDS	1215	ask	2.7.2.4	COG0527	Aspartokinase
KJMONHIK_00829	gene	873	dapA			
KJMONHIK_00829	CDS	873	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
KJMONHIK_00830	gene	1668	rnjB			
KJMONHIK_00830	CDS	1668	rnjB	3.1.-.-	COG0595	Ribonuclease J2
KJMONHIK_00831	gene	726	tepA			
KJMONHIK_00831	CDS	726	tepA		COG0740	Translocation-enhancing protein TepA
KJMONHIK_00832	gene	213				
KJMONHIK_00832	CDS	213				hypothetical protein
KJMONHIK_00833	gene	2364	spoIIIE			
KJMONHIK_00833	CDS	2364	spoIIIE		COG1674	DNA translocase SpoIIIE
KJMONHIK_00834	gene	726	nagR_1			
KJMONHIK_00834	CDS	726	nagR_1		COG2188	HTH-type transcriptional repressor NagR
KJMONHIK_00835	gene	1212	ymfD_2			
KJMONHIK_00835	CDS	1212	ymfD_2			Bacillibactin exporter
KJMONHIK_00836	gene	1281				
KJMONHIK_00836	CDS	1281				hypothetical protein
KJMONHIK_00837	gene	1287				
KJMONHIK_00837	CDS	1287				hypothetical protein
KJMONHIK_00838	gene	729	fabG_2			
KJMONHIK_00838	CDS	729	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KJMONHIK_00839	gene	258	yflH_1			
KJMONHIK_00839	CDS	258	yflH_1			putative protein YflH
KJMONHIK_00840	gene	792				
KJMONHIK_00840	CDS	792				hypothetical protein
KJMONHIK_00841	gene	915				
KJMONHIK_00841	CDS	915				hypothetical protein
KJMONHIK_00842	gene	582	pgsA			
KJMONHIK_00842	CDS	582	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
KJMONHIK_00843	gene	1251	cinA			
KJMONHIK_00843	CDS	1251	cinA		COG1058	Putative competence-damage inducible protein
KJMONHIK_00844	gene	1047	recA			
KJMONHIK_00844	CDS	1047	recA		COG0468	Protein RecA
KJMONHIK_00845	gene	1176	pbpX			
KJMONHIK_00845	CDS	1176	pbpX		COG1680	Putative penicillin-binding protein PbpX
KJMONHIK_00846	gene	1563	rny			
KJMONHIK_00846	CDS	1563	rny	3.1.-.-	COG1418	Ribonuclease Y
KJMONHIK_00847	gene	795	ymdB			
KJMONHIK_00847	CDS	795	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
KJMONHIK_00848	gene	261	spoVS			
KJMONHIK_00848	CDS	261	spoVS		COG2359	Stage V sporulation protein S
KJMONHIK_00849	gene	1044	tdh			
KJMONHIK_00849	CDS	1044	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
KJMONHIK_00850	gene	1179				
KJMONHIK_00850	CDS	1179		2.3.1.29	COG0156	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
KJMONHIK_00851	gene	1530	miaB			
KJMONHIK_00851	CDS	1530	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
KJMONHIK_00852	gene	432	ymcA			
KJMONHIK_00852	CDS	432	ymcA		COG4550	putative protein YmcA
KJMONHIK_00853	gene	546	cotE			
KJMONHIK_00853	CDS	546	cotE			Spore coat protein E
KJMONHIK_00854	gene	2577	mutS			
KJMONHIK_00854	CDS	2577	mutS		COG0249	DNA mismatch repair protein MutS
KJMONHIK_00855	gene	1887	mutL			
KJMONHIK_00855	CDS	1887	mutL		COG0323	DNA mismatch repair protein MutL
KJMONHIK_00856	gene	753				
KJMONHIK_00856	CDS	753				hypothetical protein
KJMONHIK_00857	gene	456				
KJMONHIK_00857	CDS	456				hypothetical protein
KJMONHIK_00858	gene	558				
KJMONHIK_00858	CDS	558				hypothetical protein
KJMONHIK_00859	gene	618	betI			
KJMONHIK_00859	CDS	618	betI		COG1309	HTH-type transcriptional regulator BetI
KJMONHIK_00860	gene	678	pksB			
KJMONHIK_00860	CDS	678	pksB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase PksB
KJMONHIK_00861	gene	867	pksC			
KJMONHIK_00861	CDS	867	pksC	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
KJMONHIK_00862	gene	150				
KJMONHIK_00862	CDS	150				hypothetical protein
KJMONHIK_00863	gene	975	pksD			
KJMONHIK_00863	CDS	975	pksD	2.3.1.-		Polyketide biosynthesis acyltransferase PksD
KJMONHIK_00864	gene	2283	pksE			
KJMONHIK_00864	CDS	2283	pksE		COG0331	Polyketide biosynthesis protein PksE
KJMONHIK_00865	gene	249	acpK			
KJMONHIK_00865	CDS	249	acpK		COG0236	Polyketide biosynthesis acyl-carrier-protein AcpK
KJMONHIK_00866	gene	1248	pksF			
KJMONHIK_00866	CDS	1248	pksF	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
KJMONHIK_00867	gene	1263	pksG			
KJMONHIK_00867	CDS	1263	pksG	2.3.3.-	COG3425	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
KJMONHIK_00868	gene	771	pksH			
KJMONHIK_00868	CDS	771	pksH	4.2.1.-	COG1024	putative polyketide biosynthesis enoyl-CoA hydratase PksH
KJMONHIK_00869	gene	750	pksI			
KJMONHIK_00869	CDS	750	pksI	4.-.-.-	COG1024	Putative polyketide biosynthesis enoyl-CoA isomerase PksI
KJMONHIK_00870	gene	15141	pksJ			
KJMONHIK_00870	CDS	15141	pksJ		COG0318	Polyketide synthase PksJ
KJMONHIK_00871	gene	13671	pksL			
KJMONHIK_00871	CDS	13671	pksL		COG3321	Polyketide synthase PksL
KJMONHIK_00872	gene	12783	pksM			
KJMONHIK_00872	CDS	12783	pksM			Polyketide synthase PksM
KJMONHIK_00873	gene	16545	pksN			
KJMONHIK_00873	CDS	16545	pksN	2.3.1.-	COG1020	Polyketide synthase PksN
KJMONHIK_00874	gene	7632	pksR			
KJMONHIK_00874	CDS	7632	pksR	2.3.1.-	COG3319	Polyketide synthase PksR
KJMONHIK_00875	gene	1218	pksS			
KJMONHIK_00875	CDS	1218	pksS	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
KJMONHIK_00876	gene	357				
KJMONHIK_00876	CDS	357				hypothetical protein
KJMONHIK_00877	gene	825				
KJMONHIK_00877	CDS	825				hypothetical protein
KJMONHIK_00878	gene	1329	aprX			
KJMONHIK_00878	CDS	1329	aprX	3.4.21.-	COG1404	Serine protease AprX
KJMONHIK_00879	gene	234				
KJMONHIK_00879	CDS	234				hypothetical protein
KJMONHIK_00880	gene	708				
KJMONHIK_00880	CDS	708				hypothetical protein
KJMONHIK_00881	gene	453				
KJMONHIK_00881	CDS	453				hypothetical protein
KJMONHIK_00882	gene	357	ebrB			
KJMONHIK_00882	CDS	357	ebrB			Multidrug resistance protein EbrB
KJMONHIK_00883	gene	318	ebrA			
KJMONHIK_00883	CDS	318	ebrA			Multidrug resistance protein EbrA
KJMONHIK_00884	gene	249				
KJMONHIK_00884	CDS	249				hypothetical protein
KJMONHIK_00885	gene	405				
KJMONHIK_00885	CDS	405				hypothetical protein
KJMONHIK_00886	gene	945	miaA			
KJMONHIK_00886	CDS	945	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
KJMONHIK_00887	gene	222	hfq			
KJMONHIK_00887	CDS	222	hfq		COG1923	RNA-binding protein Hfq
KJMONHIK_00888	gene	273	ymzC			
KJMONHIK_00888	CDS	273	ymzC			putative protein YmzC
KJMONHIK_00889	gene	231				
KJMONHIK_00889	CDS	231				hypothetical protein
KJMONHIK_00890	gene	393	nrdI			
KJMONHIK_00890	CDS	393	nrdI		COG1780	Protein NrdI
KJMONHIK_00891	gene	2103	nrdE			
KJMONHIK_00891	CDS	2103	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
KJMONHIK_00892	gene	990	nrdF			
KJMONHIK_00892	CDS	990	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
KJMONHIK_00893	gene	621				
KJMONHIK_00893	CDS	621				hypothetical protein
KJMONHIK_00894	gene	768	cwlC			
KJMONHIK_00894	CDS	768	cwlC	3.5.1.28	COG0860	Sporulation-specific N-acetylmuramoyl-L-alanine amidase
KJMONHIK_00895	gene	969	spoVK			
KJMONHIK_00895	CDS	969	spoVK		COG0464	Stage V sporulation protein K
KJMONHIK_00896	gene	1263	hflX			
KJMONHIK_00896	CDS	1263	hflX		COG2262	GTPase HflX
KJMONHIK_00897	gene	1266				
KJMONHIK_00897	CDS	1266				hypothetical protein
KJMONHIK_00898	gene	408	glnR			
KJMONHIK_00898	CDS	408	glnR		COG0789	HTH-type transcriptional regulator GlnR
KJMONHIK_00899	gene	1335	glnA			
KJMONHIK_00899	CDS	1335	glnA	6.3.1.2	COG0174	Glutamine synthetase
KJMONHIK_00900	gene	840				
KJMONHIK_00900	CDS	840				hypothetical protein
KJMONHIK_00901	gene	138				
KJMONHIK_00901	CDS	138				hypothetical protein
KJMONHIK_00902	gene	132				
KJMONHIK_00902	CDS	132				hypothetical protein
KJMONHIK_00903	gene	486				
KJMONHIK_00903	CDS	486				hypothetical protein
KJMONHIK_00904	gene	1392	xylP_1			
KJMONHIK_00904	CDS	1392	xylP_1			Isoprimeverose transporter
KJMONHIK_00905	gene	1602	xynB			
KJMONHIK_00905	CDS	1602	xynB	3.2.1.37	COG3507	Beta-xylosidase
KJMONHIK_00906	gene	1155	nagC			
KJMONHIK_00906	CDS	1155	nagC		COG1940	N-acetylglucosamine repressor
KJMONHIK_00907	gene	1338	xylA			
KJMONHIK_00907	CDS	1338	xylA	5.3.1.5		Xylose isomerase
KJMONHIK_00908	gene	1500	xylB_1			
KJMONHIK_00908	CDS	1500	xylB_1	2.7.1.17	COG1070	Xylulose kinase
KJMONHIK_00909	gene	699	xynA			
KJMONHIK_00909	CDS	699	xynA	3.2.1.8		Endo-1,4-beta-xylanase A
KJMONHIK_00910	gene	444	yokF			
KJMONHIK_00910	CDS	444	yokF	3.1.-.-	COG1525	SPbeta prophage-derived endonuclease YokF
KJMONHIK_00911	gene	1410	iolT_1			
KJMONHIK_00911	CDS	1410	iolT_1			Major myo-inositol transporter IolT
KJMONHIK_00912	gene	1185	alr2			
KJMONHIK_00912	CDS	1185	alr2	5.1.1.1	COG0787	Alanine racemase 2
KJMONHIK_00913	gene	462				
KJMONHIK_00913	CDS	462				hypothetical protein
KJMONHIK_00914	gene	435	yncF			
KJMONHIK_00914	CDS	435	yncF	3.6.1.23	COG0756	putative deoxyuridine 5'-triphosphate nucleotidohydrolase YncF
KJMONHIK_00915	gene	174				
KJMONHIK_00915	CDS	174				hypothetical protein
KJMONHIK_00916	gene	222				
KJMONHIK_00916	CDS	222				hypothetical protein
KJMONHIK_00917	gene	840	thyA1			
KJMONHIK_00917	CDS	840	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
KJMONHIK_00918	gene	753	yncM			
KJMONHIK_00918	CDS	753	yncM			putative protein YncM
KJMONHIK_00919	gene	357				
KJMONHIK_00919	CDS	357				hypothetical protein
KJMONHIK_00920	gene	201				
KJMONHIK_00920	CDS	201				hypothetical protein
KJMONHIK_00921	gene	402				
KJMONHIK_00921	CDS	402				hypothetical protein
KJMONHIK_00922	gene	435	yndB			
KJMONHIK_00922	CDS	435	yndB		COG3832	putative protein YndB
KJMONHIK_00923	gene	261				
KJMONHIK_00923	CDS	261				hypothetical protein
KJMONHIK_00924	gene	189				
KJMONHIK_00924	CDS	189				hypothetical protein
KJMONHIK_00925	gene	1197	srpC			
KJMONHIK_00925	CDS	1197	srpC		COG2059	putative chromate transport protein
KJMONHIK_00926	gene	312	gerAA_1			
KJMONHIK_00926	CDS	312	gerAA_1			Spore germination protein A1
KJMONHIK_00927	gene	807				
KJMONHIK_00927	CDS	807				hypothetical protein
KJMONHIK_00928	gene	621				
KJMONHIK_00928	CDS	621				hypothetical protein
KJMONHIK_00929	gene	1632				
KJMONHIK_00929	CDS	1632				hypothetical protein
KJMONHIK_00930	gene	315				
KJMONHIK_00930	CDS	315				hypothetical protein
KJMONHIK_00931	gene	759				
KJMONHIK_00931	CDS	759				hypothetical protein
KJMONHIK_00932	gene	453				
KJMONHIK_00932	CDS	453				hypothetical protein
KJMONHIK_00933	gene	423	fosB_1			
KJMONHIK_00933	CDS	423	fosB_1	2.5.1.-	COG0346	Metallothiol transferase FosB
KJMONHIK_00934	gene	429				
KJMONHIK_00934	CDS	429				hypothetical protein
KJMONHIK_00935	gene	219				
KJMONHIK_00935	CDS	219				hypothetical protein
KJMONHIK_00936	gene	618	lexA			
KJMONHIK_00936	CDS	618	lexA	3.4.21.88	COG1974	LexA repressor
KJMONHIK_00937	gene	312	yneA			
KJMONHIK_00937	CDS	312	yneA		COG1388	Cell division suppressor protein YneA
KJMONHIK_00938	gene	654	yneB			
KJMONHIK_00938	CDS	654	yneB		COG1961	Resolvase YneB
KJMONHIK_00939	gene	234				
KJMONHIK_00939	CDS	234				hypothetical protein
KJMONHIK_00940	gene	2004	tkt			
KJMONHIK_00940	CDS	2004	tkt	2.2.1.1		Transketolase
KJMONHIK_00941	gene	447	sirA			
KJMONHIK_00941	CDS	447	sirA			Sporulation inhibitor of replication protein SirA
KJMONHIK_00942	gene	219				
KJMONHIK_00942	CDS	219				hypothetical protein
KJMONHIK_00943	gene	174	ynzD			
KJMONHIK_00943	CDS	174	ynzD	3.1.3.-		Aspartyl-phosphate phosphatase YnzD
KJMONHIK_00944	gene	708				
KJMONHIK_00944	CDS	708				hypothetical protein
KJMONHIK_00945	gene	360	cheY_2			
KJMONHIK_00945	CDS	360	cheY_2		COG0784	Chemotaxis protein CheY
KJMONHIK_00946	gene	483				
KJMONHIK_00946	CDS	483				hypothetical protein
KJMONHIK_00947	gene	429				
KJMONHIK_00947	CDS	429				hypothetical protein
KJMONHIK_00948	gene	375	cotM			
KJMONHIK_00948	CDS	375	cotM		COG0071	Spore coat protein M
KJMONHIK_00949	gene	147	sspP			
KJMONHIK_00949	CDS	147	sspP			Small, acid-soluble spore protein P
KJMONHIK_00950	gene	165	sspO			
KJMONHIK_00950	CDS	165	sspO			Small, acid-soluble spore protein O
KJMONHIK_00951	gene	2730	citB			
KJMONHIK_00951	CDS	2730	citB	4.2.1.-	COG1048	Aconitate/2-methylaconitate hydratase
KJMONHIK_00952	gene	513	resA_1			
KJMONHIK_00952	CDS	513	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
KJMONHIK_00953	gene	126				
KJMONHIK_00953	CDS	126				hypothetical protein
KJMONHIK_00954	gene	147	sspN			
KJMONHIK_00954	CDS	147	sspN			Small, acid-soluble spore protein N
KJMONHIK_00955	gene	252	tlp			
KJMONHIK_00955	CDS	252	tlp			Small, acid-soluble spore protein Tlp
KJMONHIK_00956	gene	417				
KJMONHIK_00956	CDS	417		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
KJMONHIK_00957	gene	300				
KJMONHIK_00957	CDS	300				hypothetical protein
KJMONHIK_00958	gene	288				
KJMONHIK_00958	CDS	288				putative protein
KJMONHIK_00959	gene	582	plsY			
KJMONHIK_00959	CDS	582	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
KJMONHIK_00960	gene	408	yccU			
KJMONHIK_00960	CDS	408	yccU		COG1832	putative protein YccU
KJMONHIK_00961	gene	1968	parE			
KJMONHIK_00961	CDS	1968	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
KJMONHIK_00962	gene	2424	parC			
KJMONHIK_00962	CDS	2424	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
KJMONHIK_00963	gene	126				
KJMONHIK_00963	CDS	126				hypothetical protein
KJMONHIK_00964	gene	354				
KJMONHIK_00964	CDS	354				hypothetical protein
KJMONHIK_00965	gene	1344	alsT_1			
KJMONHIK_00965	CDS	1344	alsT_1		COG1115	Amino-acid carrier protein AlsT
KJMONHIK_00966	gene	1500	eglS			
KJMONHIK_00966	CDS	1500	eglS	3.2.1.4	COG2730	Endoglucanase
KJMONHIK_00967	gene	264	ynfE			
KJMONHIK_00967	CDS	264	ynfE			putative protein YnfE
KJMONHIK_00968	gene	405				
KJMONHIK_00968	CDS	405				hypothetical protein
KJMONHIK_00969	gene	891	gtaB_1			
KJMONHIK_00969	CDS	891	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
KJMONHIK_00970	gene	606				
KJMONHIK_00970	CDS	606				hypothetical protein
KJMONHIK_00971	gene	1200	nrnB			
KJMONHIK_00971	CDS	1200	nrnB	3.1.-.-	COG2404	Oligoribonuclease NrnB
KJMONHIK_00972	gene	1530	accD5			
KJMONHIK_00972	CDS	1530	accD5	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
KJMONHIK_00973	gene	783	crt			
KJMONHIK_00973	CDS	783	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
KJMONHIK_00974	gene	903	yngG			
KJMONHIK_00974	CDS	903	yngG	4.1.3.4	COG0119	Hydroxymethylglutaryl-CoA lyase YngG
KJMONHIK_00975	gene	222	yngHB			
KJMONHIK_00975	CDS	222	yngHB		COG0511	Biotin/lipoyl attachment protein
KJMONHIK_00976	gene	1335	cfiB			
KJMONHIK_00976	CDS	1335	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
KJMONHIK_00977	gene	1650	fadD3			
KJMONHIK_00977	CDS	1650	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
KJMONHIK_00978	gene	1143	bcd			
KJMONHIK_00978	CDS	1143	bcd	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
KJMONHIK_00979	gene	171				
KJMONHIK_00979	CDS	171				hypothetical protein
KJMONHIK_00980	gene	1533				
KJMONHIK_00980	CDS	1533				hypothetical protein
KJMONHIK_00981	gene	393				
KJMONHIK_00981	CDS	393				hypothetical protein
KJMONHIK_00982	gene	7833	lgrD			
KJMONHIK_00982	CDS	7833	lgrD			Linear gramicidin synthase subunit D
KJMONHIK_00983	gene	16098	dltA_1			
KJMONHIK_00983	CDS	16098	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
KJMONHIK_00984	gene	11916	dltA_2			
KJMONHIK_00984	CDS	11916	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
KJMONHIK_00985	gene	1203	fenF			
KJMONHIK_00985	CDS	1203	fenF	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
KJMONHIK_00986	gene	1476	dacC			
KJMONHIK_00986	CDS	1476	dacC	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
KJMONHIK_00987	gene	978	galM			
KJMONHIK_00987	CDS	978	galM	5.1.3.3	COG2017	Aldose 1-epimerase
KJMONHIK_00988	gene	1392	mepA_1			
KJMONHIK_00988	CDS	1392	mepA_1			Multidrug export protein MepA
KJMONHIK_00989	gene	546	yoeB			
KJMONHIK_00989	CDS	546	yoeB			putative protein YoeB
KJMONHIK_00990	gene	564				
KJMONHIK_00990	CDS	564				hypothetical protein
KJMONHIK_00991	gene	189				
KJMONHIK_00991	CDS	189				hypothetical protein
KJMONHIK_00992	gene	138				
KJMONHIK_00992	CDS	138				hypothetical protein
KJMONHIK_00993	gene	558				
KJMONHIK_00993	CDS	558				hypothetical protein
KJMONHIK_00994	gene	978	cwlA_3			
KJMONHIK_00994	CDS	978	cwlA_3	3.5.1.28	COG3409	N-acetylmuramoyl-L-alanine amidase CwlA
KJMONHIK_00995	gene	102				
KJMONHIK_00995	CDS	102				hypothetical protein
KJMONHIK_00996	gene	264				
KJMONHIK_00996	CDS	264				hypothetical protein
KJMONHIK_00997	gene	213	uviB			
KJMONHIK_00997	CDS	213	uviB			Bacteriocin UviB
KJMONHIK_00998	gene	174				
KJMONHIK_00998	CDS	174				hypothetical protein
KJMONHIK_00999	gene	372				
KJMONHIK_00999	CDS	372				hypothetical protein
KJMONHIK_01000	gene	1791				
KJMONHIK_01000	CDS	1791				hypothetical protein
KJMONHIK_01001	gene	171				
KJMONHIK_01001	CDS	171				hypothetical protein
KJMONHIK_01002	gene	309				
KJMONHIK_01002	CDS	309				hypothetical protein
KJMONHIK_01003	gene	1896				
KJMONHIK_01003	CDS	1896				hypothetical protein
KJMONHIK_01004	gene	1707				
KJMONHIK_01004	CDS	1707				hypothetical protein
KJMONHIK_01005	gene	840				
KJMONHIK_01005	CDS	840				hypothetical protein
KJMONHIK_01006	gene	3879				
KJMONHIK_01006	CDS	3879				hypothetical protein
KJMONHIK_01007	gene	165				
KJMONHIK_01007	CDS	165				hypothetical protein
KJMONHIK_01008	gene	339				
KJMONHIK_01008	CDS	339				hypothetical protein
KJMONHIK_01009	gene	615				
KJMONHIK_01009	CDS	615				hypothetical protein
KJMONHIK_01010	gene	378				
KJMONHIK_01010	CDS	378				hypothetical protein
KJMONHIK_01011	gene	384				
KJMONHIK_01011	CDS	384				hypothetical protein
KJMONHIK_01012	gene	348				
KJMONHIK_01012	CDS	348				hypothetical protein
KJMONHIK_01013	gene	474				
KJMONHIK_01013	CDS	474				hypothetical protein
KJMONHIK_01014	gene	318				
KJMONHIK_01014	CDS	318				hypothetical protein
KJMONHIK_01015	gene	1194				
KJMONHIK_01015	CDS	1194				hypothetical protein
KJMONHIK_01016	gene	627				
KJMONHIK_01016	CDS	627				hypothetical protein
KJMONHIK_01017	gene	1248				
KJMONHIK_01017	CDS	1248				hypothetical protein
KJMONHIK_01018	gene	219				
KJMONHIK_01018	CDS	219				hypothetical protein
KJMONHIK_01019	gene	1710				
KJMONHIK_01019	CDS	1710				hypothetical protein
KJMONHIK_01020	gene	534				
KJMONHIK_01020	CDS	534				hypothetical protein
KJMONHIK_01021	gene	342				
KJMONHIK_01021	CDS	342				hypothetical protein
KJMONHIK_01022	gene	756				
KJMONHIK_01022	CDS	756				hypothetical protein
KJMONHIK_01023	gene	339				
KJMONHIK_01023	CDS	339				hypothetical protein
KJMONHIK_01024	gene	753				
KJMONHIK_01024	CDS	753				hypothetical protein
KJMONHIK_01025	gene	459	xerC_2			
KJMONHIK_01025	CDS	459	xerC_2			Tyrosine recombinase XerC
KJMONHIK_01026	gene	450				
KJMONHIK_01026	CDS	450				hypothetical protein
KJMONHIK_01027	gene	696				
KJMONHIK_01027	CDS	696				hypothetical protein
KJMONHIK_01028	gene	507				
KJMONHIK_01028	CDS	507				hypothetical protein
KJMONHIK_01029	gene	897				
KJMONHIK_01029	CDS	897				hypothetical protein
KJMONHIK_01030	gene	249				
KJMONHIK_01030	CDS	249				hypothetical protein
KJMONHIK_01031	gene	228				
KJMONHIK_01031	CDS	228				hypothetical protein
KJMONHIK_01032	gene	318				
KJMONHIK_01032	CDS	318				hypothetical protein
KJMONHIK_01033	gene	198				
KJMONHIK_01033	CDS	198				hypothetical protein
KJMONHIK_01034	gene	156				
KJMONHIK_01034	CDS	156				hypothetical protein
KJMONHIK_01035	gene	141				
KJMONHIK_01035	CDS	141				hypothetical protein
KJMONHIK_01036	gene	171				
KJMONHIK_01036	CDS	171				hypothetical protein
KJMONHIK_01037	gene	549				
KJMONHIK_01037	CDS	549				hypothetical protein
KJMONHIK_01038	gene	150				
KJMONHIK_01038	CDS	150				hypothetical protein
KJMONHIK_01039	gene	831				
KJMONHIK_01039	CDS	831				hypothetical protein
KJMONHIK_01040	gene	873				
KJMONHIK_01040	CDS	873				hypothetical protein
KJMONHIK_01041	gene	219				
KJMONHIK_01041	CDS	219				hypothetical protein
KJMONHIK_01042	gene	330				
KJMONHIK_01042	CDS	330				hypothetical protein
KJMONHIK_01043	gene	204				
KJMONHIK_01043	CDS	204				hypothetical protein
KJMONHIK_01044	gene	399				
KJMONHIK_01044	CDS	399				hypothetical protein
KJMONHIK_01045	gene	93				
KJMONHIK_01045	CDS	93				hypothetical protein
KJMONHIK_01046	gene	129				
KJMONHIK_01046	CDS	129				hypothetical protein
KJMONHIK_01047	gene	1101				
KJMONHIK_01047	CDS	1101				hypothetical protein
KJMONHIK_01048	gene	1110	xerC_3			
KJMONHIK_01048	CDS	1110	xerC_3			Tyrosine recombinase XerC
KJMONHIK_01049	gene	73				
KJMONHIK_01049	tRNA	73				tRNA-Arg(cct)
KJMONHIK_01050	gene	546	xerC_4			
KJMONHIK_01050	CDS	546	xerC_4			Tyrosine recombinase XerC
KJMONHIK_01051	gene	231				
KJMONHIK_01051	CDS	231				hypothetical protein
KJMONHIK_01052	gene	1764	ggt			
